country,year,S,E,H,R_proxy
NOR,2015,2.211487240929501,7.656614112519786,8.354979772356321,0.03760429535294541
NOR,2016,2.360859714132043,7.957701758528242,8.576211549015527,0.04609497220047229
NOR,2017,2.134426665874954,7.890820067922579,8.629374186878794,0.04848223380655438
NOR,2018,2.178987154654492,7.733817822578968,8.59777717777854,0.03891366278973148
NOR,2019,2.170924696028735,7.960673983714426,8.766545023363507,0.047359313134217006
NOR,2020,2.360933470917444,8.316589608313201,9.064947105073434,0.05576782979127378
NOR,2021,2.3292860206059993,7.491394239972266,8.376382551950234,0.04937722607665591
NOR,2022,2.010189290376424,6.525940170114006,7.784528920999471,0.051537454196009164
DNK,2000,1.827149358965046,6.462648930490784,7.928756922827876,0.1371296507878522
DNK,2001,1.900638207581264,6.594753581669849,8.033341092319002,0.1186450080728147
DNK,2002,1.978998804773978,6.645902341902679,8.062608893833529,0.1062798050629857
DNK,2003,2.160050024062566,6.646999566937198,8.007448376598367,0.10357102684504632
DNK,2004,2.029229187128177,6.7553837790858395,8.05886978029622,0.10086224862710691
DNK,2005,2.024989014610864,6.765570604015591,8.023492374929313,0.09815347040916747
DNK,2006,1.965744433889216,6.71206166687132,7.849023622913826,0.09544469219122806
DNK,2007,2.0364158500346194,6.703157888366383,7.818251689604755,0.09273591397328868
DNK,2008,1.9537150747603036,6.6450476748566585,7.727755093304633,0.09002713575534926
DNK,2009,2.478051556242964,7.167451282181216,8.21588003887426,0.08731835753740982
DNK,2010,2.5559937160280066,7.246100101654996,8.299738537950875,0.08460957931947041
DNK,2011,2.5724520277851557,7.19508239823833,8.465769067326322,0.09556767570786104
DNK,2012,2.646808612171652,6.6794454637835825,7.979310784776672,0.09792464581372333
DNK,2013,2.645345552254791,7.184902097559981,8.597499060351456,0.10020685700790544
DNK,2014,2.588895869570792,6.845785057978278,8.260677796423758,0.17302388102673263
DNK,2015,2.4874660010721055,6.90712308029725,8.257376094781494,0.13786787512664297
DNK,2016,2.4400238663679548,6.958914704330951,8.209466817466895,0.11980305039085473
DNK,2017,2.469248870493775,6.83339471785582,8.12729293420159,0.16031669960475425
DNK,2018,2.3620951079461165,6.8541091130475635,8.11292953143928,0.12354409287336847
DNK,2019,2.301297728952283,6.874171217275463,8.17505766268379,0.10102046421329194
DNK,2020,2.4111591676652515,6.970819676654252,8.2594253704479,0.09515038510999878
DNK,2021,2.2814660030464142,6.928983932229927,8.012409563301857,0.06461694964145867
DNK,2022,2.422554871049488,6.421877538749944,7.912137152245045,0.12059253158117159
USA,2000,3.3645703382328946,5.859967038516295,6.273628075393003,0.8472931843865437
USA,2001,3.546823637669074,5.994819013951516,6.321217732252413,1.0320734238024256
USA,2002,3.628679814363405,6.176164631590782,6.342226339810792,0.8657958249684892
USA,2003,3.6696395238474278,6.318484449823969,6.3257476120094935,0.8714261140206601
USA,2004,3.5727216746198334,6.38952395419924,6.370773601015891,0.8770564030728312
USA,2005,3.6078826212487307,6.451002049007395,6.365201159273237,0.8826866921250021
USA,2006,3.6091750912352447,6.517494206080772,6.33528321734845,0.8883169811771731
USA,2007,3.5642941889190185,6.583288896908072,6.355755848534223,0.8692115224928433
USA,2008,3.7249626060910987,6.621824595454822,6.4099591600933294,0.8252435289033072
USA,2009,4.132501912494765,6.741593888527151,6.519082924520073,0.761486278003093
USA,2010,4.012874538633193,6.781624137170912,6.607466069574752,0.7189664485654252
USA,2011,4.053819539097955,6.787462853165867,6.6553237146204545,0.7085537789161835
USA,2012,3.944583097609081,6.8171064296272545,6.680385007082592,0.7112956353002855
USA,2013,3.8415468943554867,6.814838810222693,6.703687945279147,0.6775349258477761
USA,2014,3.7803010299098116,6.892886575367501,6.709498984448456,0.6632441533488485
USA,2015,3.6560285179608485,6.995702847813351,6.712301249728134,0.7408878124077832
USA,2016,3.6111003329950258,7.01485143036987,6.65525003773882,0.8078414447795865
USA,2017,3.551486061035611,7.181526342664223,6.845278578709935,0.7944398058923416
USA,2018,3.529042671444824,7.1299285974116815,6.806784160064225,0.7435589250804643
USA,2019,3.519294853713562,7.216147749172859,6.873859217603435,0.7511832813144279
USA,2020,3.898174847411831,7.733233963275352,6.932508060625747,0.9777425787079163
USA,2021,3.422118511243295,7.661560266852969,6.849751502785775,1.0455645019495332
USA,2022,3.5001499290100586,7.548851628582434,6.977526715527858,1.0029553878166544
CAN,2000,3.0035056100045416,4.973422736740725,7.315688933673816,0.24582689189746365
CAN,2001,3.1258641311868676,4.859038994604502,7.106500140293072,0.2470091266241765
CAN,2002,3.1550620571369636,4.957682013834198,7.158550927850377,0.25828431634254756
CAN,2003,3.182108221166545,4.972549233122289,7.11537257751262,0.23896240283248246
CAN,2004,3.1173977896090213,4.991372682900372,7.102538676604882,0.27416427897454804
CAN,2005,3.0493077182120722,4.99577348944072,7.062541437140314,0.29040460672242857
CAN,2006,3.079037753016199,5.0870276649531645,7.0588766855552025,0.2599491581028696
CAN,2007,3.0234691115179864,5.129165262491884,7.018466880392043,0.25166551610708043
CAN,2008,3.0677630732500525,5.09833845147674,6.946907725154361,0.2567032865925818
CAN,2009,3.385975731533838,5.331506881882119,7.087185475467321,0.251549794956436
CAN,2010,3.210242201588479,5.5926509324988025,7.37925620917076,0.22370339214965865
CAN,2011,3.060208171347572,5.535179036138481,7.376063099960857,0.24501722764314554
CAN,2012,3.1371960673802164,5.429752347544857,7.249805910162756,0.21464841813770938
CAN,2013,3.128440277795292,5.288454518205448,7.132961778597315,0.193928925782421
CAN,2014,3.046463514168629,5.406301500421084,7.24767238327382,0.1988921523547514
CAN,2015,3.12123396467948,5.455316783546625,7.217116687815427,0.23490453897371744
