country,year,S,E,H,R
BOL,2002,5.325533020768876,6.596080845577367,5.361502288960319,1.4595210946408201
BOL,2003,5.121166312011219,6.7094953949639375,5.438909188750455,1.5051311288483475
BOL,2004,4.8860283703484,6.935382388462161,5.518185178222751,1.3683010262257707
BOL,2005,5.214925104192741,6.867015546373672,5.5902567702185655,1.5165336374002276
BOL,2006,5.034095953319513,6.237485545012435,5.633581194091708,1.584948688711517
BOL,2007,4.831762222680464,6.2249204669187215,5.824426171016849,1.5507411630558714
BOL,2008,4.448515797290304,6.18475762900323,5.901575864581598,1.6305587229190426
BOL,2009,4.381905432354499,6.027431051791416,6.297774904300894,1.5165336374002276
BOL,2010,4.182175690020994,5.770553955269067,6.139632291491057,1.5507411630558714
BOL,2011,3.9780885438992653,5.747384386127351,6.003057335306029,1.573546180159635
BOL,2012,4.007419195782463,5.703703957155926,6.133112645126796,1.6191562143671607
BOL,2013,4.1117231762675255,5.807886033836027,6.252119368748837,1.6761687571265682
BOL,2014,4.110682581705054,5.76346209535016,6.559444017235851,1.68757126567845
BOL,2015,4.128029780546565,5.673394892957728,6.865625312876162,1.5621436716077532
BOL,2016,4.034331402682173,5.696517865203445,6.915532895983842,1.5963511972633988
BOL,2017,3.9938130004995402,5.58434215383426,6.936027644342651,1.5507411630558714
BOL,2018,3.8110818800591684,5.447593145337618,6.944779539817948,1.6077537058152789
BOL,2019,3.75555671172099,4.51755906957067,7.006664351819197,3.1242873432155074
BOL,2020,4.629131694146925,4.6963034716766785,6.738716110873246,2.9874572405929296
BOL,2021,3.6773286690740434,5.7252245341682535,6.450082895914389,1.858608893956669
BOL,2022,3.660250268782369,5.413628265294719,6.834845267512201,2.0296465222348914
PRY,2000,5.4811074940220355,5.9031862855119375,5.279585584102299,1.6533637400228045
PRY,2001,5.306079030671546,5.9031862855119375,5.231205461314041,1.6533637400228045
PRY,2002,5.874573674135881,5.9031862855119375,5.161593599194692,1.6533637400228045
PRY,2003,5.299305019855611,6.034678541057398,5.23420964439386,1.6761687571265682
PRY,2004,5.022615397726058,6.192801734124348,5.099865444605442,1.5165336374002276
PRY,2005,4.795062346692169,6.18878522558097,5.149626677229894,1.5165336374002276
PRY,2006,4.946760361537744,6.230437412588662,5.201919973228317,1.5165336374002276
